Descriptive statistics,,,,,
,,,,,
,GDP in (Billion) $ ,,,,
count,62 ,,,,
mean,699.0365 ,,,,
sample standard deviation,867.2281 ,,,,
sample variance,"752,084.5008 ",,,,
minimum,37.03 ,,,,
maximum,3173.4 ,,,,
range,3136.37 ,,,,
,,,,,
skewness,1.4723 ,,,,
kurtosis,0.9215 ,,,,
coefficient of variation (CV),124.06%,,,,
,,,,,
1st quartile,100.3275 ,,,,
median,292.1250 ,,,,
3rd quartile,910.2900 ,,,,
interquartile range,809.9625 ,,,,
mode,#N/D,,,,
,,,,,
low extremes,0 ,,,,
low outliers,0 ,,,,
high outliers,6 ,,,,
high extremes,0 ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,2-25-2023 13:45.15  (1),,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,, 
,,,,,
,,,,,
,,,,,
,,,,,
,,2-25-2023 13:45.16  (1),,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,, 
